method,split,failure_category,tagged_hard_failures,rescued_hard_failures,rescue_percentage,non_exclusive
exact_only,full,no_exact_match,10,0,0.0,True
exact_only,calibration,no_exact_match,5,0,0.0,True
exact_only,evaluation,no_exact_match,5,0,0.0,True
exact_only,full,ambiguous_exact_evidence,12,0,0.0,True
exact_only,calibration,ambiguous_exact_evidence,6,0,0.0,True
exact_only,evaluation,ambiguous_exact_evidence,6,0,0.0,True
exact_only,full,ranking_failure,14,0,0.0,True
exact_only,calibration,ranking_failure,7,0,0.0,True
exact_only,evaluation,ranking_failure,7,0,0.0,True
exact_only,full,cross_field_partial_match,14,0,0.0,True
exact_only,calibration,cross_field_partial_match,7,0,0.0,True
exact_only,evaluation,cross_field_partial_match,7,0,0.0,True
exact_only,full,normalization_problem,0,0,0.0,True
exact_only,calibration,normalization_problem,0,0,0.0,True
exact_only,evaluation,normalization_problem,0,0,0.0,True
exact_only,full,dialogue_state_problem,0,0,0.0,True
exact_only,calibration,dialogue_state_problem,0,0,0.0,True
exact_only,evaluation,dialogue_state_problem,0,0,0.0,True
exact_only,full,insufficient_information,0,0,0.0,True
exact_only,calibration,insufficient_information,0,0,0.0,True
exact_only,evaluation,insufficient_information,0,0,0.0,True
exact_only,full,semantic_retrieval_opportunity,1,0,0.0,True
exact_only,calibration,semantic_retrieval_opportunity,0,0,0.0,True
exact_only,evaluation,semantic_retrieval_opportunity,1,0,0.0,True
exact_stateful_bm25_rrf,full,no_exact_match,10,7,0.7,True
exact_stateful_bm25_rrf,calibration,no_exact_match,5,3,0.6,True
exact_stateful_bm25_rrf,evaluation,no_exact_match,5,4,0.8,True
exact_stateful_bm25_rrf,full,ambiguous_exact_evidence,12,7,0.583333,True
exact_stateful_bm25_rrf,calibration,ambiguous_exact_evidence,6,3,0.5,True
exact_stateful_bm25_rrf,evaluation,ambiguous_exact_evidence,6,4,0.666667,True
exact_stateful_bm25_rrf,full,ranking_failure,14,7,0.5,True
exact_stateful_bm25_rrf,calibration,ranking_failure,7,3,0.428571,True
exact_stateful_bm25_rrf,evaluation,ranking_failure,7,4,0.571429,True
exact_stateful_bm25_rrf,full,cross_field_partial_match,14,7,0.5,True
exact_stateful_bm25_rrf,calibration,cross_field_partial_match,7,3,0.428571,True
exact_stateful_bm25_rrf,evaluation,cross_field_partial_match,7,4,0.571429,True
exact_stateful_bm25_rrf,full,normalization_problem,0,0,0.0,True
exact_stateful_bm25_rrf,calibration,normalization_problem,0,0,0.0,True
exact_stateful_bm25_rrf,evaluation,normalization_problem,0,0,0.0,True
exact_stateful_bm25_rrf,full,dialogue_state_problem,0,0,0.0,True
exact_stateful_bm25_rrf,calibration,dialogue_state_problem,0,0,0.0,True
exact_stateful_bm25_rrf,evaluation,dialogue_state_problem,0,0,0.0,True
exact_stateful_bm25_rrf,full,insufficient_information,0,0,0.0,True
exact_stateful_bm25_rrf,calibration,insufficient_information,0,0,0.0,True
exact_stateful_bm25_rrf,evaluation,insufficient_information,0,0,0.0,True
exact_stateful_bm25_rrf,full,semantic_retrieval_opportunity,1,1,1.0,True
exact_stateful_bm25_rrf,calibration,semantic_retrieval_opportunity,0,0,0.0,True
exact_stateful_bm25_rrf,evaluation,semantic_retrieval_opportunity,1,1,1.0,True
exact_field_aware_bm25_rrf,full,no_exact_match,10,2,0.2,True
exact_field_aware_bm25_rrf,calibration,no_exact_match,5,0,0.0,True
exact_field_aware_bm25_rrf,evaluation,no_exact_match,5,2,0.4,True
exact_field_aware_bm25_rrf,full,ambiguous_exact_evidence,12,2,0.166667,True
exact_field_aware_bm25_rrf,calibration,ambiguous_exact_evidence,6,0,0.0,True
exact_field_aware_bm25_rrf,evaluation,ambiguous_exact_evidence,6,2,0.333333,True
exact_field_aware_bm25_rrf,full,ranking_failure,14,2,0.142857,True
exact_field_aware_bm25_rrf,calibration,ranking_failure,7,0,0.0,True
exact_field_aware_bm25_rrf,evaluation,ranking_failure,7,2,0.285714,True
exact_field_aware_bm25_rrf,full,cross_field_partial_match,14,2,0.142857,True
exact_field_aware_bm25_rrf,calibration,cross_field_partial_match,7,0,0.0,True
exact_field_aware_bm25_rrf,evaluation,cross_field_partial_match,7,2,0.285714,True
exact_field_aware_bm25_rrf,full,normalization_problem,0,0,0.0,True
exact_field_aware_bm25_rrf,calibration,normalization_problem,0,0,0.0,True
exact_field_aware_bm25_rrf,evaluation,normalization_problem,0,0,0.0,True
exact_field_aware_bm25_rrf,full,dialogue_state_problem,0,0,0.0,True
exact_field_aware_bm25_rrf,calibration,dialogue_state_problem,0,0,0.0,True
exact_field_aware_bm25_rrf,evaluation,dialogue_state_problem,0,0,0.0,True
exact_field_aware_bm25_rrf,full,insufficient_information,0,0,0.0,True
exact_field_aware_bm25_rrf,calibration,insufficient_information,0,0,0.0,True
exact_field_aware_bm25_rrf,evaluation,insufficient_information,0,0,0.0,True
exact_field_aware_bm25_rrf,full,semantic_retrieval_opportunity,1,1,1.0,True
exact_field_aware_bm25_rrf,calibration,semantic_retrieval_opportunity,0,0,0.0,True
exact_field_aware_bm25_rrf,evaluation,semantic_retrieval_opportunity,1,1,1.0,True
exact_dense_rrf,full,no_exact_match,10,1,0.1,True
exact_dense_rrf,calibration,no_exact_match,5,0,0.0,True
exact_dense_rrf,evaluation,no_exact_match,5,1,0.2,True
exact_dense_rrf,full,ambiguous_exact_evidence,12,1,0.083333,True
exact_dense_rrf,calibration,ambiguous_exact_evidence,6,0,0.0,True
exact_dense_rrf,evaluation,ambiguous_exact_evidence,6,1,0.166667,True
exact_dense_rrf,full,ranking_failure,14,1,0.071429,True
exact_dense_rrf,calibration,ranking_failure,7,0,0.0,True
exact_dense_rrf,evaluation,ranking_failure,7,1,0.142857,True
exact_dense_rrf,full,cross_field_partial_match,14,1,0.071429,True
exact_dense_rrf,calibration,cross_field_partial_match,7,0,0.0,True
exact_dense_rrf,evaluation,cross_field_partial_match,7,1,0.142857,True
exact_dense_rrf,full,normalization_problem,0,0,0.0,True
exact_dense_rrf,calibration,normalization_problem,0,0,0.0,True
exact_dense_rrf,evaluation,normalization_problem,0,0,0.0,True
exact_dense_rrf,full,dialogue_state_problem,0,0,0.0,True
exact_dense_rrf,calibration,dialogue_state_problem,0,0,0.0,True
exact_dense_rrf,evaluation,dialogue_state_problem,0,0,0.0,True
exact_dense_rrf,full,insufficient_information,0,0,0.0,True
exact_dense_rrf,calibration,insufficient_information,0,0,0.0,True
exact_dense_rrf,evaluation,insufficient_information,0,0,0.0,True
exact_dense_rrf,full,semantic_retrieval_opportunity,1,1,1.0,True
exact_dense_rrf,calibration,semantic_retrieval_opportunity,0,0,0.0,True
exact_dense_rrf,evaluation,semantic_retrieval_opportunity,1,1,1.0,True
exact_generic_field_dense_rrf,full,no_exact_match,10,2,0.2,True
exact_generic_field_dense_rrf,calibration,no_exact_match,5,0,0.0,True
exact_generic_field_dense_rrf,evaluation,no_exact_match,5,2,0.4,True
exact_generic_field_dense_rrf,full,ambiguous_exact_evidence,12,2,0.166667,True
exact_generic_field_dense_rrf,calibration,ambiguous_exact_evidence,6,0,0.0,True
exact_generic_field_dense_rrf,evaluation,ambiguous_exact_evidence,6,2,0.333333,True
exact_generic_field_dense_rrf,full,ranking_failure,14,2,0.142857,True
exact_generic_field_dense_rrf,calibration,ranking_failure,7,0,0.0,True
exact_generic_field_dense_rrf,evaluation,ranking_failure,7,2,0.285714,True
exact_generic_field_dense_rrf,full,cross_field_partial_match,14,2,0.142857,True
exact_generic_field_dense_rrf,calibration,cross_field_partial_match,7,0,0.0,True
exact_generic_field_dense_rrf,evaluation,cross_field_partial_match,7,2,0.285714,True
exact_generic_field_dense_rrf,full,normalization_problem,0,0,0.0,True
exact_generic_field_dense_rrf,calibration,normalization_problem,0,0,0.0,True
exact_generic_field_dense_rrf,evaluation,normalization_problem,0,0,0.0,True
exact_generic_field_dense_rrf,full,dialogue_state_problem,0,0,0.0,True
exact_generic_field_dense_rrf,calibration,dialogue_state_problem,0,0,0.0,True
exact_generic_field_dense_rrf,evaluation,dialogue_state_problem,0,0,0.0,True
exact_generic_field_dense_rrf,full,insufficient_information,0,0,0.0,True
exact_generic_field_dense_rrf,calibration,insufficient_information,0,0,0.0,True
exact_generic_field_dense_rrf,evaluation,insufficient_information,0,0,0.0,True
exact_generic_field_dense_rrf,full,semantic_retrieval_opportunity,1,1,1.0,True
exact_generic_field_dense_rrf,calibration,semantic_retrieval_opportunity,0,0,0.0,True
exact_generic_field_dense_rrf,evaluation,semantic_retrieval_opportunity,1,1,1.0,True
