sample_id,scenario_type,constraint_position,constraint,field,occurs_exactly_in_target_field,all_matching_fields,matching_field_count,category_only_target_rank,with_constraint_target_rank,rank_improvement,oracle_only
public_0001,buying,1,Material:alloy,title,False,"[""features""]",1,699,769,-70,True
public_0001,buying,1,Material:alloy,features,True,"[""features""]",1,1727,356,1371,True
public_0001,buying,1,Material:alloy,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0001,buying,1,Material:alloy,description,False,"[""features""]",1,407,719,-312,True
public_0001,buying,1,Material:alloy,categories,False,"[""features""]",1,853,853,0,True
public_0001,buying,1,Material:alloy,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0001,buying,1,Material:alloy,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0001,buying,2,Triple Moon Pentagram Symbol,title,False,"[""features""]",1,699,1,698,True
public_0001,buying,2,Triple Moon Pentagram Symbol,features,True,"[""features""]",1,1727,1,1726,True
public_0001,buying,2,Triple Moon Pentagram Symbol,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0001,buying,2,Triple Moon Pentagram Symbol,description,False,"[""features""]",1,407,2,405,True
public_0001,buying,2,Triple Moon Pentagram Symbol,categories,False,"[""features""]",1,853,853,0,True
public_0001,buying,2,Triple Moon Pentagram Symbol,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0001,buying,2,Triple Moon Pentagram Symbol,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0001,buying,3,The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r,title,False,"[""features""]",1,699,1,698,True
public_0001,buying,3,The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r,features,True,"[""features""]",1,1727,1,1726,True
public_0001,buying,3,The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r,details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0001,buying,3,The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r,description,False,"[""features""]",1,407,6,401,True
public_0001,buying,3,The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r,categories,False,"[""features""]",1,853,1213,-360,True
public_0001,buying,3,The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r,store,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0001,buying,3,The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r,price,False,"[""features""]",1,not_retrieved,not_retrieved,,True
public_0001,buying,4,"♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",title,False,"[""features""]",1,699,4565,-3866,True
public_0001,buying,4,"♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",features,True,"[""features""]",1,1727,1,1726,True
public_0001,buying,4,"♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",details,False,"[""features""]",1,not_retrieved,not_retrieved,,True
