sample_id,split,oracle_scenario_type,current_submission_agent_hit,current_submission_agent_first_hit_turn,current_submission_agent_best_rank,yang_experiment_1_original_hit,yang_experiment_1_original_first_hit_turn,yang_experiment_1_original_best_rank,clean_specific_global_pagination_hit,clean_specific_global_pagination_first_hit_turn,clean_specific_global_pagination_best_rank,clean_specific_query_pagination_hit,clean_specific_query_pagination_first_hit_turn,clean_specific_query_pagination_best_rank,clean_other_query_pagination_hit,clean_other_query_pagination_first_hit_turn,clean_other_query_pagination_best_rank,clean_specific_no_pagination_hit,clean_specific_no_pagination_first_hit_turn,clean_specific_no_pagination_best_rank
public_0001,calibration,buying,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0002,evaluation,intent_override,True,3,10,True,3,6,True,3,6,True,3,6,True,3,6,True,3,6
public_0003,calibration,intent_override,True,3,1,True,5,3,True,3,1,True,3,1,True,3,1,True,3,1
public_0004,calibration,intent_override,True,3,1,True,3,1,True,3,1,True,3,1,True,3,1,True,3,1
public_0005,calibration,buying,True,2,1,True,2,10,True,2,1,True,2,1,True,2,1,True,2,1
public_0006,evaluation,browsing,True,1,10,True,2,1,True,2,1,True,2,1,True,2,2,True,2,1
public_0007,evaluation,browsing,True,2,1,True,2,1,True,3,1,True,3,1,True,2,1,True,3,1
public_0008,evaluation,buying,True,2,2,True,1,4,True,1,4,True,1,4,True,1,4,True,1,4
public_0009,evaluation,buying,True,2,1,True,1,3,True,1,3,True,1,3,True,1,3,True,1,3
public_0010,calibration,buying,True,2,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0011,evaluation,browsing,True,1,9,True,1,4,True,1,4,True,1,4,True,1,4,True,1,4
public_0012,evaluation,browsing,True,3,2,True,2,2,True,2,2,True,2,4,True,2,2,True,2,4
public_0013,calibration,intent_override,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1,True,4,1
public_0014,evaluation,browsing,True,1,5,True,1,4,True,1,4,True,1,4,True,1,4,True,1,4
public_0015,evaluation,browsing,True,2,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0016,evaluation,browsing,True,3,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0017,evaluation,buying,True,2,5,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2
public_0018,evaluation,buying,True,1,3,True,2,1,True,3,1,True,3,1,True,2,1,True,3,1
public_0019,evaluation,browsing,True,2,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
public_0020,evaluation,buying,True,1,9,True,2,2,True,2,3,True,2,6,True,2,3,True,2,6
public_0021,calibration,browsing,True,2,1,True,1,4,True,1,4,True,1,4,True,1,4,True,1,4
public_0022,calibration,buying,True,2,1,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2
public_0023,evaluation,intent_override,True,4,1,True,4,4,True,4,1,True,4,1,True,4,7,True,4,1
public_0024,evaluation,buying,True,2,1,True,1,2,True,1,2,True,1,2,True,1,2,True,1,2
public_0025,calibration,browsing,True,2,1,True,1,1,True,1,1,True,1,1,True,1,1,True,1,1
