sample_id,first_message,detected_route,expected_route_after_freeze,correct,route_locked_all_turns,oracle_scenario_type
public_0001,I'm looking for Jewelry Necklaces. A key requirement is: Material:alloy.,buying,buying,True,True,buying
public_0002,I'm looking for Accessories Belts. Buckle closure,buying,buying,True,True,intent_override
public_0003,I'm looking for Watches Wrist Watches. Stainless Steel Band,buying,buying,True,True,intent_override
public_0004,I'm looking for Tops & Tees Tanks & Camis. Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit,buying,buying,True,True,intent_override
public_0005,I'm looking for Outdoor & Work Snow & Cold Weather. A key requirement is: leather.,buying,buying,True,True,buying
public_0006,"I'm looking for Basketball Men, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0007,"I'm looking for Tees & Blouses Tunics, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0008,I'm looking for Bras Everyday Bras. A key requirement is: nylon.,buying,buying,True,True,buying
public_0009,I'm looking for Handbags & Wallets Totes. A key requirement is: leather.,buying,buying,True,True,buying
public_0010,I'm looking for Women Bodysuits. A key requirement is: fabric.,buying,buying,True,True,buying
public_0011,"I'm looking for Underwear Undershirts, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0012,"I'm looking for Women Dresses, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0013,"I'm looking for Shoes Slippers. YOUR NEW FAVORITE SLIPPERS: Slip into divine comfort with Gemma, a plush mule-style spa slipper with an adjustable hook-and-loop closure across the vamp",buying,buying,True,True,intent_override
public_0014,"I'm looking for Underwear Briefs, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0015,"I'm looking for Shoes Mules & Clogs, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0016,"I'm looking for Boots Mid-Calf, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0017,I'm looking for Card Cases & Money Organizers Wallets. A key requirement is: leather.,buying,buying,True,True,buying
public_0018,I'm looking for Shirts Tanks Tops. A key requirement is: polyester.,buying,buying,True,True,buying
public_0019,"I'm looking for Outdoor & Work Rain, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0020,I'm looking for Novelty Women. A key requirement is: cotton.,buying,buying,True,True,buying
public_0021,"I'm looking for Men Pants, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0022,I'm looking for Dresses Casual. A key requirement is: fabric.,buying,buying,True,True,buying
public_0023,"I'm looking for Bras Everyday Bras. Date First Available: March 19, 2021",buying,buying,True,True,intent_override
public_0024,I'm looking for Rompers & Overalls Jumpsuits. A key requirement is: rayon.,buying,buying,True,True,buying
public_0025,"I'm looking for Rompers & Overalls Rompers, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0026,I'm looking for Running Trail Running. A key requirement is: 100% Synthetic.,buying,buying,True,True,buying
public_0027,I'm looking for Women Jeans. A key requirement is: cotton.,buying,buying,True,True,buying
public_0028,I'm looking for Card Cases & Money Organizers Wallets. A key requirement is: leather.,buying,buying,True,True,buying
public_0029,I'm looking for Sandals Flats. A key requirement is: fabric.,buying,buying,True,True,buying
public_0030,I'm looking for Sleep & Lounge Sleep Bottoms. A key requirement is: polyester.,buying,buying,True,True,buying
public_0031,I'm looking for Women Jeans. A key requirement is: cotton.,buying,buying,True,True,buying
public_0032,I'm looking for Sleep & Lounge Nightgowns & Sleepshirts. A key requirement is: cotton.,buying,buying,True,True,buying
public_0033,"I'm looking for Athletic Walking, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0034,"I'm looking for Shoes Loafers & Slip-Ons. Leather Loafers Women:can be bend and curled in 360°,soft and comfortable",buying,buying,True,True,intent_override
public_0035,"I'm looking for Athletic Walking, but I'm still exploring.",browsing,browsing,True,True,boundary
public_0036,"I'm looking for Earrings Drop & Dangle, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0037,"I'm looking for Boys Pants, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0038,I'm looking for Shoes Fashion Sneakers. Lace Slip On Sneaker,buying,buying,True,True,intent_override
public_0039,"I'm looking for Women Jerseys, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0040,"I'm looking for Active Pants Sweatpants, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0041,"I'm looking for Tees & Blouses Tunics, but I'm still exploring.",browsing,browsing,True,True,boundary
public_0042,I'm looking for Watches Wrist Watches. A key requirement is: Imported.,buying,buying,True,True,buying
public_0043,"I'm looking for Women Jeans, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0044,I'm looking for Men Jammers. A key requirement is: fabric.,buying,buying,True,True,buying
public_0045,I'm looking for Tees & Blouses Tunics. A key requirement is: polyester.,buying,buying,True,True,buying
public_0046,I'm looking for Socks & Hosiery Leg Warmers. No Closure closure,buying,buying,True,True,intent_override
public_0047,"I'm looking for Accessories Bandanas, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0048,"I'm looking for Athletic Soccer, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0049,"I'm looking for Shoes Loafers & Slip-Ons, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0050,"I'm looking for Work & Utility Industrial & Construction Boots, but I'm still exploring.",browsing,browsing,True,True,boundary
public_0051,"I'm looking for Athletic Walking, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0052,I'm looking for Tees & Blouses Tunics. Hand Wash Only,buying,buying,True,True,intent_override
public_0053,I'm looking for Travel Accessories Passport Covers. A key requirement is: leather.,buying,buying,True,True,buying
public_0054,I'm looking for Women Fashion Hoodies & Sweatshirts. A key requirement is: fabric.,buying,buying,True,True,buying
public_0055,"I'm looking for Shoes Mules & Clogs, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0056,"I'm looking for Shirts T-Shirts, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0057,"I'm looking for Shoes Mules & Clogs, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0058,I'm looking for Rain & Anoraks Raincoats. A key requirement is: polyester.,buying,buying,True,True,buying
public_0059,"I'm looking for Shapewear Bodysuits, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0060,"I'm looking for Sleep & Lounge Sleep Bottoms, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0061,I'm looking for Piercing Jewelry Rings. A key requirement is: Snap closure.,buying,buying,True,True,buying
public_0062,"I'm looking for Skirts Casual, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0063,"I'm looking for Women Shorts, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0064,I'm looking for Dresses Club & Night Out. Hand Wash Only,buying,buying,True,True,intent_override
public_0065,I'm looking for Bibs & Pants Bibs. A key requirement is: polyester.,buying,buying,True,True,buying
public_0066,I'm looking for Dresses Formal. A key requirement is: polyester.,buying,buying,True,True,buying
public_0067,I'm looking for Lightweight Jackets Windbreakers. A key requirement is: polyester.,buying,buying,True,True,buying
public_0068,I'm looking for Athletic Walking. Lightweight and responsive Ultra Go midsole cushioning,buying,buying,True,True,intent_override
public_0069,"I'm looking for Earrings Drop & Dangle, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0070,"I'm looking for Travel Accessories Travel Wallets, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0071,I'm looking for Women Fashion Hoodies & Sweatshirts. Pull On closure,buying,buying,True,True,intent_override
public_0072,I'm looking for Rain & Anoraks Anoraks. Department: womens,buying,buying,True,True,intent_override
public_0073,"I'm looking for Dresses Casual, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0074,"I'm looking for Athletic Walking, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0075,"I'm looking for Accessories Belts, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0076,"I'm looking for Women Hoodies, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0077,"I'm looking for Sleep & Lounge Sleep Tops, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0078,I'm looking for Socks No Show & Liner Socks. Pull On closure,buying,buying,True,True,intent_override
public_0079,"I'm looking for Socks & Hosiery Slipper Socks, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0080,I'm looking for Shirts Polos. Button closure,buying,buying,True,True,intent_override
public_0081,"I'm looking for Underwear Undershirts, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0082,"I'm looking for Bracelets Strand. A key requirement is: 21 Styles: the package contains 21 pieces beach bracelet anklets in different styles as shown in the picture, coming with various elements, enough quantity to use and share with fa.",buying,buying,True,True,buying
public_0083,I'm looking for Tees & Blouses Blouses & Button-Down Shirts. A key requirement is: polyester.,buying,buying,True,True,buying
public_0084,I'm looking for Accessories Belts. Hand Wash Only,buying,buying,True,True,intent_override
public_0085,"I'm looking for Sandals Slides, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0086,"I'm looking for Shoes Slippers, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0087,"I'm looking for Shirts Casual Button-Down Shirts, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0088,I'm looking for Panties Bikinis. A key requirement is: cotton.,buying,buying,True,True,buying
public_0089,I'm looking for Panties Briefs. Elastic closure,buying,buying,True,True,intent_override
public_0090,"I'm looking for Women Accessories. A key requirement is: Decorative lightweight scarf: 2 wearing ways of this mardi gras scarf, wrap the scarf around your neck, or wearing it as a shawl, just change the orientation of the scarf, you can.",buying,buying,True,True,buying
public_0091,"I'm looking for Jewelry Earrings, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0092,"I'm looking for Sleep & Lounge Sets, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0093,I'm looking for Panties Briefs. A key requirement is: cotton.,buying,buying,True,True,buying
public_0094,I'm looking for Boots Mid-Calf. A key requirement is: leather.,buying,buying,True,True,buying
public_0095,I'm looking for Women Leggings. A key requirement is: polyester.,buying,buying,True,True,buying
public_0096,I'm looking for Tees & Blouses T-Shirts. Pull On closure,buying,buying,True,True,intent_override
public_0097,I'm looking for Women Leggings. A key requirement is: polyester.,buying,buying,True,True,buying
public_0098,"I'm looking for Running Road Running, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0099,"I'm looking for Active Pants Sweatpants, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0100,"I'm looking for Shoes Loafers & Slip-Ons, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0101,I'm looking for Medical Scrub Bottoms. A key requirement is: polyester.,buying,buying,True,True,buying
public_0102,"I'm looking for Bras Everyday Bras, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0103,I'm looking for Underwear Undershirts. Imported,buying,buying,True,True,intent_override
public_0104,"I'm looking for Hats & Caps Headbands, but I'm still exploring.",browsing,browsing,True,True,boundary
public_0105,"I'm looking for Women Leggings, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0106,I'm looking for Socks Calf Socks. A key requirement is: cotton.,buying,buying,True,True,buying
public_0107,I'm looking for Rain & Anoraks Anoraks. A key requirement is: cotton.,buying,buying,True,True,buying
public_0108,I'm looking for Pants & Shorts Shorts. A key requirement is: cotton.,buying,buying,True,True,buying
public_0109,I'm looking for Shirts T-Shirts. A key requirement is: fabric.,buying,buying,True,True,buying
public_0110,"I'm looking for Active Athletic Socks, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0111,I'm looking for Sweaters Pullovers. A key requirement is: polyester.,buying,buying,True,True,buying
public_0112,"I'm looking for Athletic Walking, but I'm still exploring.",browsing,browsing,True,True,boundary
public_0113,"I'm looking for Shoes Slippers, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0114,I'm looking for Shoes Fashion Sneakers. A key requirement is: Rubber sole.,buying,buying,True,True,buying
public_0115,"I'm looking for Sleep & Lounge Nightgowns & Sleepshirts, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0116,I'm looking for Shoes Fashion Sneakers. A key requirement is: 100% Canvas.,buying,buying,True,True,buying
public_0117,I'm looking for Shoes Slippers. A key requirement is: Synthetic Rubber sole.,buying,buying,True,True,buying
public_0118,I'm looking for Bikinis Sets. A key requirement is: nylon.,buying,buying,True,True,buying
public_0119,"I'm looking for Handbags & Wallets Top-Handle Bags. A key requirement is: Pvc,Resin.",buying,buying,True,True,buying
public_0120,"I'm looking for Card Cases & Money Organizers Wallets, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0121,"I'm looking for Bras Everyday Bras, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0122,"I'm looking for Women Leggings, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0123,I'm looking for Hats & Caps Fedoras. Buckle closure,buying,buying,True,True,intent_override
public_0124,I'm looking for Hats & Caps Baseball Caps. A key requirement is: polyester.,buying,buying,True,True,buying
public_0125,I'm looking for Hats & Caps Baseball Caps. HOOK & LOOP CLOSURE: Our hats for women and men feature a strap closure in the back letting you easily adjust the size for a perfect fit,buying,buying,True,True,intent_override
public_0126,"I'm looking for Tees & Blouses Blouses & Button-Down Shirts, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0127,"I'm looking for Gloves & Mittens Cold Weather Gloves, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0128,"I'm looking for Earrings Hoop, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0129,I'm looking for Women Bodysuits. A key requirement is: fabric.,buying,buying,True,True,buying
public_0130,I'm looking for Panties Briefs. Hand Wash or Machine Wash with laundry bag (30°C Max),buying,buying,True,True,intent_override
public_0131,"I'm looking for Socks & Hosiery Leg Warmers, but I'm still exploring.",browsing,browsing,True,True,boundary
public_0132,I'm looking for Shoes Slippers. A key requirement is: cotton.,buying,buying,True,True,buying
public_0133,I'm looking for Sunglasses & Eyewear Accessories Sunglasses. A key requirement is: Imported.,buying,buying,True,True,buying
public_0134,"I'm looking for Piercing Jewelry Tunnels, but I'm still exploring.",browsing,browsing,True,True,browsing
public_0135,I'm looking for Shoes Slippers. A key requirement is: polyester.,buying,buying,True,True,buying
public_0136,I'm looking for Active Active Shorts. A key requirement is: spandex.,buying,buying,True,True,buying
public_0137,"I'm looking for Women Fashion Hoodies & Sweatshirts, but I'm still exploring.",browsing,browsing,True,True,browsing
