sample_id,scenario_type,constraint_count,constraint_position,exact_phrase_candidates,all_token_candidates,token_overlap_candidates,target_exact_phrase_match,target_all_token_match,target_token_overlap_match,oracle_only
public_0001,buying,0,category_only,1218,6840,50000,True,True,True,True
public_0001,buying,1,1,9,1262,15324,True,True,True,True
public_0001,buying,2,2,1,13,7883,True,True,True,True
public_0001,buying,3,3,1,11,11519,True,True,True,True
public_0001,buying,4,4,1,6,10237,True,True,True,True
public_0002,intent_override,0,category_only,258,2317,7078,True,True,True,True
public_0002,intent_override,1,1,177,398,9419,True,True,True,True
public_0002,intent_override,2,2,55,341,9809,True,True,True,True
public_0002,intent_override,3,3,20,91,9593,True,True,True,True
public_0002,intent_override,4,4,7,45,8806,True,True,True,True
public_0003,intent_override,0,category_only,1034,1275,1672,True,True,True,True
public_0003,intent_override,1,1,575,764,3261,True,True,True,True
public_0003,intent_override,2,2,1,80,2149,True,True,True,True
public_0003,intent_override,3,3,1,36,2284,True,True,True,True
public_0003,intent_override,4,4,1,28,2154,True,True,True,True
public_0004,intent_override,0,category_only,111,1622,4486,True,True,True,True
public_0004,intent_override,1,1,51,830,11676,True,True,True,True
public_0004,intent_override,2,2,2,502,9620,True,True,True,True
public_0004,intent_override,3,3,1,52,8110,True,True,True,True
public_0004,intent_override,4,4,1,37,8918,True,True,True,True
public_0005,buying,0,category_only,232,852,2455,True,True,True,True
public_0005,buying,1,1,86,224,8128,True,True,True,True
public_0005,buying,2,2,66,145,8584,True,True,True,True
public_0005,buying,3,3,1,49,7844,True,True,True,True
public_0005,buying,4,4,1,28,8974,True,True,True,True
public_0006,browsing,0,category_only,19,9761,15127,True,True,True,True
public_0006,browsing,1,1,13,2191,18454,True,True,True,True
public_0006,browsing,2,2,10,1452,16675,True,True,True,True
public_0006,browsing,3,3,3,305,13869,True,True,True,True
public_0006,browsing,4,4,1,139,14822,True,True,True,True
public_0007,browsing,0,category_only,519,1792,3026,True,True,True,True
public_0007,browsing,1,1,233,840,11836,True,True,True,True
public_0007,browsing,2,2,1,84,6422,True,True,True,True
public_0007,browsing,3,3,1,32,8834,True,True,True,True
public_0007,browsing,4,4,1,21,9543,True,True,True,True
public_0008,buying,0,category_only,231,925,3623,True,True,True,True
public_0008,buying,1,1,112,221,3314,True,True,True,True
public_0008,buying,2,2,3,85,2133,True,True,True,True
public_0008,buying,3,3,2,36,4106,True,True,True,True
public_0008,buying,4,4,1,19,4908,True,True,True,True
public_0009,buying,0,category_only,184,612,1584,True,True,True,True
public_0009,buying,1,1,109,404,7708,True,True,True,True
public_0009,buying,2,2,1,189,5896,True,True,True,True
public_0009,buying,3,3,1,48,7330,True,True,True,True
public_0009,buying,4,4,1,47,13133,True,True,True,True
public_0010,buying,0,category_only,1,21914,32465,False,True,True,True
public_0010,buying,1,1,1,4859,25730,False,True,True,True
public_0010,buying,2,2,0,589,12889,False,True,True,True
public_0010,buying,3,3,0,209,14991,False,True,True,True
public_0010,buying,4,4,0,31,12006,False,True,True,True
public_0011,browsing,0,category_only,48,423,785,True,True,True,True
public_0011,browsing,1,1,35,230,9968,True,True,True,True
public_0011,browsing,2,2,26,195,10429,True,True,True,True
public_0011,browsing,3,3,15,94,9743,True,True,True,True
public_0011,browsing,4,4,1,14,9411,True,True,True,True
public_0012,browsing,0,category_only,126,22445,32792,False,True,True,True
public_0012,browsing,1,1,55,5492,27837,False,True,True,True
public_0012,browsing,2,2,4,1627,15919,False,True,True,True
public_0012,browsing,3,3,1,599,17521,False,True,True,True
public_0012,browsing,4,4,0,106,14431,False,True,True,True
public_0013,intent_override,0,category_only,548,13893,49997,True,True,True,True
public_0013,intent_override,1,1,248,6682,15076,True,True,True,True
public_0013,intent_override,2,2,1,502,11930,True,True,True,True
public_0013,intent_override,3,3,1,19,9723,True,True,True,True
public_0013,intent_override,4,4,1,17,10174,True,True,True,True
public_0014,browsing,0,category_only,60,498,835,True,True,True,True
public_0014,browsing,1,1,42,254,10019,True,True,True,True
public_0014,browsing,2,2,1,52,6186,True,True,True,True
public_0014,browsing,3,3,1,26,8185,True,True,True,True
public_0014,browsing,4,4,1,13,8677,True,True,True,True
public_0015,browsing,0,category_only,283,5838,13838,True,True,True,True
public_0015,browsing,1,1,18,538,13975,True,True,True,True
public_0015,browsing,2,2,1,348,22458,True,True,True,True
public_0015,browsing,3,3,1,48,17276,True,True,True,True
public_0015,browsing,4,4,1,9,15973,True,True,True,True
public_0016,browsing,0,category_only,138,896,1621,True,True,True,True
public_0016,browsing,1,1,67,397,7999,True,True,True,True
public_0016,browsing,2,2,30,142,6789,True,True,True,True
public_0016,browsing,3,3,12,98,9439,True,True,True,True
public_0016,browsing,4,4,1,59,7610,True,True,True,True
public_0017,buying,0,category_only,349,526,682,True,True,True,True
public_0017,buying,1,1,271,361,7665,True,True,True,True
public_0017,buying,2,2,9,77,6114,True,True,True,True
public_0017,buying,3,3,9,77,8164,True,True,True,True
public_0017,buying,4,4,4,73,7891,True,True,True,True
public_0018,buying,0,category_only,42,3169,6452,True,True,True,True
public_0018,buying,1,1,9,1469,12584,True,True,True,True
public_0018,buying,2,2,1,698,9128,True,True,True,True
public_0018,buying,3,3,1,493,12357,True,True,True,True
public_0018,buying,4,4,1,102,10394,True,True,True,True
public_0019,browsing,0,category_only,109,1436,3199,True,True,True,True
public_0019,browsing,1,1,70,551,8391,True,True,True,True
public_0019,browsing,2,2,1,182,5872,True,True,True,True
public_0019,browsing,3,3,1,115,5346,True,True,True,True
public_0019,browsing,4,4,1,111,4536,True,True,True,True
public_0020,buying,0,category_only,1260,24350,34126,True,True,True,True
public_0020,buying,1,1,747,5094,29031,True,True,True,True
public_0020,buying,2,2,1,499,18048,False,False,True,True
public_0020,buying,3,3,1,85,12911,False,False,True,True
public_0020,buying,4,4,1,53,12213,False,False,True,True
public_0021,browsing,0,category_only,162,10976,17604,True,True,True,True
public_0021,browsing,1,1,82,2776,19084,True,True,True,True
public_0021,browsing,2,2,1,687,11325,True,True,True,True
public_0021,browsing,3,3,1,292,12771,True,True,True,True
public_0021,browsing,4,4,1,92,11570,True,True,True,True
public_0022,buying,0,category_only,799,5089,11380,True,True,True,True
public_0022,buying,1,1,266,2030,11734,True,True,True,True
public_0022,buying,2,2,1,1356,14031,True,True,True,True
public_0022,buying,3,3,1,482,13807,True,True,True,True
public_0022,buying,4,4,1,277,14953,True,True,True,True
public_0023,intent_override,0,category_only,231,925,3623,True,True,True,True
public_0023,intent_override,1,1,110,259,8219,True,True,True,True
