sample_id,split,oracle_scenario_type,diagnostic_residual_type,turn,message,message_history,previous_other_questions,retrieval_category,active_evidence,disclosed_evidence,superseded_evidence,override_applied,fallback_activated,fallback_reasons,exact_all_phrases_candidate_count,exact_highest_match_count,exact_highest_tier_candidate_count,exact_top_10_candidates,oracle_target_asin,diagnostic_exact_target_rank,exact_stateful_bm25_rrf_top_10_candidates,diagnostic_exact_stateful_bm25_rrf_target_rank,exact_field_aware_bm25_rrf_top_10_candidates,diagnostic_exact_field_aware_bm25_rrf_target_rank,exact_dense_rrf_top_10_candidates,diagnostic_exact_dense_rrf_target_rank,exact_generic_field_dense_rrf_top_10_candidates,diagnostic_exact_generic_field_dense_rrf_target_rank
public_0014,evaluation,browsing,weak_success,1,"I'm looking for Underwear Briefs, but I'm still exploring.","[""I'm looking for Underwear Briefs, but I'm still exploring.""]",[],Underwear Briefs,[],[],[],True,True,"[""no_active_constraint"", ""highest_exact_match_tier_exceeds_top_10""]",60,1,60,"[""B00M28VG8S"", ""B0B34ZFDTM"", ""B08Z6KJT1W"", ""B016ZX8778"", ""B016ZX8E8A"", ""B088QF5G58"", ""B00BC58B4Y"", ""B075VJ416K"", ""B08JHP7NJ3"", ""B0743JZ639""]",B088QF5G58,6,"[""B0B34ZFDTM"", ""B08LB37S7N"", ""B06XQL9ZZ7"", ""B08JHP7NJ3"", ""B088QF5G58"", ""B07TX7G1NZ"", ""B084WRG34B"", ""B075VJ416K"", ""B00B81I65G"", ""B07Y9TCR1P""]",5,"[""B00M28VG8S"", ""B088QF5G58"", ""B0B34ZFDTM"", ""B075VJ416K"", ""B08Z6KJT1W"", ""B00BC58B4Y"", ""B08JHP7NJ3"", ""B07Y8QZPV5"", ""B07CXVKBQB"", ""B08YRW8M2R""]",2,"[""B00M28VG8S"", ""B07Y8QZPV5"", ""B0743JZ639"", ""B07GPLQT7V"", ""B08YRW8M2R"", ""B016ZX8E8A"", ""B07CXVKBQB"", ""B016ZX8778"", ""B00BC58B4Y"", ""B00OUPXZUI""]",,"[""B00M28VG8S"", ""B07W4WJR3W"", ""B0B34ZFDTM"", ""B09BJRN72Y"", ""B088QF5G58"", ""B08YRW8M2R"", ""B07Y8QZPV5"", ""B08JHP7NJ3"", ""B00BC58B4Y"", ""B07Q4KG35N""]",5
public_0014,evaluation,browsing,weak_success,2,"For that, what matters is: cotton; Solids: 100% Cotton; heathers: 75% cotton, 25% polyester.","[""I'm looking for Underwear Briefs, but I'm still exploring."", ""For that, what matters is: cotton; Solids: 100% Cotton; heathers: 75% cotton, 25% polyester.""]","[{""after_turn"": 1, ""ask_attribute"": ""other""}]",Underwear Briefs,"[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester""]","[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester""]",[],True,False,[],1,3,1,"[""B088QF5G58"", ""B00M28VG8S"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08JHP7NJ3"", ""B0743JZ639"", ""B07GPLQT7V"", ""B07WTC11SR"", ""B08V95Q38T"", ""B088Z1MZG5""]",B088QF5G58,1,"[""B088QF5G58"", ""B00M28VG8S"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08JHP7NJ3"", ""B0743JZ639"", ""B07GPLQT7V"", ""B07WTC11SR"", ""B08V95Q38T"", ""B088Z1MZG5""]",1,"[""B088QF5G58"", ""B00M28VG8S"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08JHP7NJ3"", ""B0743JZ639"", ""B07GPLQT7V"", ""B07WTC11SR"", ""B08V95Q38T"", ""B088Z1MZG5""]",1,"[""B088QF5G58"", ""B00M28VG8S"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08JHP7NJ3"", ""B0743JZ639"", ""B07GPLQT7V"", ""B07WTC11SR"", ""B08V95Q38T"", ""B088Z1MZG5""]",1,"[""B088QF5G58"", ""B00M28VG8S"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08JHP7NJ3"", ""B0743JZ639"", ""B07GPLQT7V"", ""B07WTC11SR"", ""B08V95Q38T"", ""B088Z1MZG5""]",1
public_0014,evaluation,browsing,weak_success,3,"For that, what matters is: Imported; Pull On closure.","[""I'm looking for Underwear Briefs, but I'm still exploring."", ""For that, what matters is: cotton; Solids: 100% Cotton; heathers: 75% cotton, 25% polyester."", ""For that, what matters is: Imported; Pull On closure.""]","[{""after_turn"": 1, ""ask_attribute"": ""other""}, {""after_turn"": 2, ""ask_attribute"": ""other""}]",Underwear Briefs,"[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester"", ""Imported"", ""Pull On closure""]","[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester"", ""Imported"", ""Pull On closure""]",[],True,False,[],1,5,1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",B088QF5G58,1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1
public_0014,evaluation,browsing,weak_success,4,I don't have an additional preference for other.,"[""I'm looking for Underwear Briefs, but I'm still exploring."", ""For that, what matters is: cotton; Solids: 100% Cotton; heathers: 75% cotton, 25% polyester."", ""For that, what matters is: Imported; Pull On closure."", ""I don't have an additional preference for other.""]","[{""after_turn"": 1, ""ask_attribute"": ""other""}, {""after_turn"": 2, ""ask_attribute"": ""other""}, {""after_turn"": 3, ""ask_attribute"": ""other""}]",Underwear Briefs,"[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester"", ""Imported"", ""Pull On closure""]","[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester"", ""Imported"", ""Pull On closure""]",[],True,False,[],1,5,1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",B088QF5G58,1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1
public_0014,evaluation,browsing,weak_success,5,I don't have an additional preference for other.,"[""I'm looking for Underwear Briefs, but I'm still exploring."", ""For that, what matters is: cotton; Solids: 100% Cotton; heathers: 75% cotton, 25% polyester."", ""For that, what matters is: Imported; Pull On closure."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other.""]","[{""after_turn"": 1, ""ask_attribute"": ""other""}, {""after_turn"": 2, ""ask_attribute"": ""other""}, {""after_turn"": 3, ""ask_attribute"": ""other""}, {""after_turn"": 4, ""ask_attribute"": ""other""}]",Underwear Briefs,"[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester"", ""Imported"", ""Pull On closure""]","[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester"", ""Imported"", ""Pull On closure""]",[],True,False,[],1,5,1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",B088QF5G58,1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1
public_0014,evaluation,browsing,weak_success,6,I don't have an additional preference for other.,"[""I'm looking for Underwear Briefs, but I'm still exploring."", ""For that, what matters is: cotton; Solids: 100% Cotton; heathers: 75% cotton, 25% polyester."", ""For that, what matters is: Imported; Pull On closure."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other.""]","[{""after_turn"": 1, ""ask_attribute"": ""other""}, {""after_turn"": 2, ""ask_attribute"": ""other""}, {""after_turn"": 3, ""ask_attribute"": ""other""}, {""after_turn"": 4, ""ask_attribute"": ""other""}, {""after_turn"": 5, ""ask_attribute"": ""other""}]",Underwear Briefs,"[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester"", ""Imported"", ""Pull On closure""]","[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester"", ""Imported"", ""Pull On closure""]",[],True,False,[],1,5,1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",B088QF5G58,1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1
public_0014,evaluation,browsing,weak_success,7,I don't have an additional preference for other.,"[""I'm looking for Underwear Briefs, but I'm still exploring."", ""For that, what matters is: cotton; Solids: 100% Cotton; heathers: 75% cotton, 25% polyester."", ""For that, what matters is: Imported; Pull On closure."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other.""]","[{""after_turn"": 1, ""ask_attribute"": ""other""}, {""after_turn"": 2, ""ask_attribute"": ""other""}, {""after_turn"": 3, ""ask_attribute"": ""other""}, {""after_turn"": 4, ""ask_attribute"": ""other""}, {""after_turn"": 5, ""ask_attribute"": ""other""}, {""after_turn"": 6, ""ask_attribute"": ""other""}]",Underwear Briefs,"[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester"", ""Imported"", ""Pull On closure""]","[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester"", ""Imported"", ""Pull On closure""]",[],True,False,[],1,5,1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",B088QF5G58,1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1
public_0014,evaluation,browsing,weak_success,8,I don't have an additional preference for other.,"[""I'm looking for Underwear Briefs, but I'm still exploring."", ""For that, what matters is: cotton; Solids: 100% Cotton; heathers: 75% cotton, 25% polyester."", ""For that, what matters is: Imported; Pull On closure."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other.""]","[{""after_turn"": 1, ""ask_attribute"": ""other""}, {""after_turn"": 2, ""ask_attribute"": ""other""}, {""after_turn"": 3, ""ask_attribute"": ""other""}, {""after_turn"": 4, ""ask_attribute"": ""other""}, {""after_turn"": 5, ""ask_attribute"": ""other""}, {""after_turn"": 6, ""ask_attribute"": ""other""}, {""after_turn"": 7, ""ask_attribute"": ""other""}]",Underwear Briefs,"[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester"", ""Imported"", ""Pull On closure""]","[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester"", ""Imported"", ""Pull On closure""]",[],True,False,[],1,5,1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",B088QF5G58,1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1
public_0014,evaluation,browsing,weak_success,9,I don't have an additional preference for other.,"[""I'm looking for Underwear Briefs, but I'm still exploring."", ""For that, what matters is: cotton; Solids: 100% Cotton; heathers: 75% cotton, 25% polyester."", ""For that, what matters is: Imported; Pull On closure."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other.""]","[{""after_turn"": 1, ""ask_attribute"": ""other""}, {""after_turn"": 2, ""ask_attribute"": ""other""}, {""after_turn"": 3, ""ask_attribute"": ""other""}, {""after_turn"": 4, ""ask_attribute"": ""other""}, {""after_turn"": 5, ""ask_attribute"": ""other""}, {""after_turn"": 6, ""ask_attribute"": ""other""}, {""after_turn"": 7, ""ask_attribute"": ""other""}, {""after_turn"": 8, ""ask_attribute"": ""other""}]",Underwear Briefs,"[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester"", ""Imported"", ""Pull On closure""]","[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester"", ""Imported"", ""Pull On closure""]",[],True,False,[],1,5,1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",B088QF5G58,1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1
public_0014,evaluation,browsing,weak_success,10,I don't have an additional preference for other.,"[""I'm looking for Underwear Briefs, but I'm still exploring."", ""For that, what matters is: cotton; Solids: 100% Cotton; heathers: 75% cotton, 25% polyester."", ""For that, what matters is: Imported; Pull On closure."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other."", ""I don't have an additional preference for other.""]","[{""after_turn"": 1, ""ask_attribute"": ""other""}, {""after_turn"": 2, ""ask_attribute"": ""other""}, {""after_turn"": 3, ""ask_attribute"": ""other""}, {""after_turn"": 4, ""ask_attribute"": ""other""}, {""after_turn"": 5, ""ask_attribute"": ""other""}, {""after_turn"": 6, ""ask_attribute"": ""other""}, {""after_turn"": 7, ""ask_attribute"": ""other""}, {""after_turn"": 8, ""ask_attribute"": ""other""}, {""after_turn"": 9, ""ask_attribute"": ""other""}]",Underwear Briefs,"[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester"", ""Imported"", ""Pull On closure""]","[""cotton"", ""Solids: 100% Cotton; heathers: 75% cotton, 25% polyester"", ""Imported"", ""Pull On closure""]",[],True,False,[],1,5,1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",B088QF5G58,1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1,"[""B088QF5G58"", ""B07GCM9ZQJ"", ""B0B34ZFDTM"", ""B08V95Q38T"", ""B0756HDH8B"", ""B00QNDQEWG"", ""B0846KWKVB"", ""B07MVXN22J"", ""B075ZC7KW9"", ""B07YLGX2VF""]",1
