sample_id,turn,stage,clarification,intent_seed,specificity,category,typed_constraints,negations,profile_tags,asked_attributes,question,question_diagnostic,candidate_pool_size,top_10,latency_ms,oracle_joined_after_freeze,oracle_scenario_type,oracle_target_asin,diagnostic_target_rank
public_0001,1,reranker,fixed_other,buying,specific,Jewelry Necklaces,"[{""explicit"": true, ""hard"": true, ""kind"": ""feature"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""Material:alloy""}]",[],"[""fit"", ""comfort"", ""durability""]","[""other""]",other,"{""fixed"": true}",50,"[""B0140NWUGE"", ""B072PTLN1L"", ""B017NHP88G"", ""B0046EC1NK"", ""B003UHUPM8"", ""B07CZ2TPVB"", ""B0028N6VFA"", ""B07CVVF3G2"", ""B000UZJVU0"", ""B075KXNBNF""]",21.233700012089685,True,buying,B09PYB7B6Z,
public_0001,2,reranker,fixed_other,buying,specific,Jewelry Necklaces,"[{""explicit"": true, ""hard"": true, ""kind"": ""feature"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""Material:alloy""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Triple Moon Pentagram Symbol""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r""}]",[],"[""fit"", ""comfort"", ""durability""]","[""other""]",other,"{""fixed"": true}",50,"[""B09PYB7B6Z"", ""B0B3MQKT6F"", ""B087CP31XD"", ""B0BG21X73H"", ""B07HRJVGP2"", ""B0817Y931T"", ""B01KXEV2M2"", ""B083SDLMWT"", ""B07JVDM9VX"", ""B000UZJVU0""]",24.321200005942956,True,buying,B09PYB7B6Z,1
public_0003,1,reranker,fixed_other,buying,mixed,Watches Wrist Watches,"[{""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": true, ""source"": ""ambiguous_disclosure"", ""source_turn"": 1, ""strength"": 0.7, ""value"": ""Stainless Steel Band""}]",[],"[""material"", ""fit""]","[""other""]",other,"{""fixed"": true}",75,"[""B07CYNQZ3Z"", ""B089JY2X5D"", ""B0196A59GY"", ""B01ETFUBCS"", ""B07GPDCGD2"", ""B013W4LCFC"", ""B08R3J6GRL"", ""B07CQHXB6X"", ""B07K2Q1N4B"", ""B07NJFNRG9""]",26.942600001348183,True,intent_override,B09YMTWDXJ,
public_0003,2,reranker,fixed_other,buying,specific,Watches Wrist Watches,"[{""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": true, ""source"": ""ambiguous_disclosure"", ""source_turn"": 1, ""strength"": 0.7, ""value"": ""Stainless Steel Band""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Water Resistant""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""3 Year Battery""}]",[],"[""material"", ""fit""]","[""other""]",other,"{""fixed"": true}",50,"[""B07CYNQZ3Z"", ""B089JY2X5D"", ""B09H3VT8JH"", ""B09YMTWDXJ"", ""B07GBT82S7"", ""B0007N53K2"", ""B003BGYKYM"", ""B07MXQ9K42"", ""B07VDXF4NP"", ""B07YCH6HLZ""]",22.925199999008328,True,intent_override,B09YMTWDXJ,4
public_0003,3,reranker,fixed_other,buying,specific,Watches Wrist Watches,"[{""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Water Resistant""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""3 Year Battery""}]","[{""explicit"": true, ""hard"": true, ""kind"": ""feature"", ""negated"": true, ""source"": ""negation_or_replacement"", ""source_turn"": 3, ""strength"": 1.0, ""value"": ""Stainless Steel Band""}]","[""material"", ""fit""]","[""other""]",other,"{""fixed"": true}",50,"[""B079Q78Q9N"", ""B00IRLC1OC"", ""B001792BWI"", ""B002EZZN4W"", ""B00BR1JGMO"", ""B001XQQXZG"", ""B07GBT82S7"", ""B008W27AKQ"", ""B0BM4WGCJ6"", ""B07XYFXGVL""]",24.80630000354722,True,intent_override,B09YMTWDXJ,
public_0003,4,reranker,fixed_other,buying,specific,Watches Wrist Watches,"[{""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Water Resistant""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""3 Year Battery""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 4, ""strength"": 0.7, ""value"": ""Day / Date Indicator""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 4, ""strength"": 0.7, ""value"": ""Stainless Steel Band""}]","[{""explicit"": true, ""hard"": true, ""kind"": ""feature"", ""negated"": true, ""source"": ""negation_or_replacement"", ""source_turn"": 3, ""strength"": 1.0, ""value"": ""Stainless Steel Band""}]","[""material"", ""fit""]","[""other""]",other,"{""fixed"": true}",50,"[""B09YMTWDXJ"", ""B07CYNQZ3Z"", ""B000EQU0NW"", ""B07MXQ9K42"", ""B07PQK7WC4"", ""B089JY2X5D"", ""B01KIKLVVS"", ""B07GBT82S7"", ""B09H3VT8JH"", ""B07YCH6HLZ""]",255.01860000076704,True,intent_override,B09YMTWDXJ,1
public_0004,1,reranker,fixed_other,buying,mixed,Tops & Tees Tanks & Camis,"[{""explicit"": false, ""hard"": false, ""kind"": ""style"", ""negated"": true, ""source"": ""ambiguous_disclosure"", ""source_turn"": 1, ""strength"": 0.7, ""value"": ""Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit""}]",[],"[""weather"", ""warmth"", ""material"", ""comfort""]","[""other""]",other,"{""fixed"": true}",75,"[""B08GJ7RG8D"", ""B07C2XPZ6D"", ""B08BWZD2FH"", ""B07F3FRGB5"", ""B09H227YL1"", ""B08BC78Y59"", ""B088KD56CJ"", ""B09Z7DBCKQ"", ""B08YJV7B6K"", ""B09ZH7HNCG""]",29.973199998494238,True,intent_override,B07C2XPZ6D,2
public_0004,2,reranker,fixed_other,buying,specific,Tops & Tees Tanks & Camis,"[{""explicit"": false, ""hard"": false, ""kind"": ""style"", ""negated"": true, ""source"": ""ambiguous_disclosure"", ""source_turn"": 1, ""strength"": 0.7, ""value"": ""Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit""}, {""explicit"": false, ""hard"": false, ""kind"": ""material"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""polyester""}, {""explicit"": false, ""hard"": false, ""kind"": ""material"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Polyester,Cotton,Spandex""}]",[],"[""weather"", ""warmth"", ""material"", ""comfort""]","[""other""]",other,"{""fixed"": true}",50,"[""B07C2XPZ6D"", ""B07MMY96CH"", ""B08NDR6878"", ""B088KD56CJ"", ""B09Z7DBCKQ"", ""B09S3C1R7G"", ""B08KRGMNL4"", ""B08QRPR4TM"", ""B09ZH7HNCG"", ""B01KW36C3I""]",29.67630000784993,True,intent_override,B07C2XPZ6D,1
public_0004,3,reranker,fixed_other,buying,specific,Tops & Tees Tanks & Camis,"[{""explicit"": false, ""hard"": false, ""kind"": ""material"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""polyester""}, {""explicit"": false, ""hard"": false, ""kind"": ""material"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Polyester,Cotton,Spandex""}]","[{""explicit"": true, ""hard"": true, ""kind"": ""style"", ""negated"": true, ""source"": ""negation_or_replacement"", ""source_turn"": 3, ""strength"": 1.0, ""value"": ""Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit""}]","[""weather"", ""warmth"", ""material"", ""comfort""]","[""other""]",other,"{""fixed"": true}",50,"[""B011INL1WS"", ""B015LCMLQM"", ""B01MSCZNDL"", ""B016NUQODM"", ""B01H3R4LQ6"", ""B07CMP3PG8"", ""B00L9ZBCV6"", ""B014J9VXLW"", ""B01I9XLXAA"", ""B07Z5S6GHC""]",22.684399998979643,True,intent_override,B07C2XPZ6D,
public_0004,4,reranker,fixed_other,buying,specific,Tops & Tees Tanks & Camis,"[{""explicit"": false, ""hard"": false, ""kind"": ""material"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""polyester""}, {""explicit"": false, ""hard"": false, ""kind"": ""material"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Polyester,Cotton,Spandex""}, {""explicit"": false, ""hard"": false, ""kind"": ""material"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 4, ""strength"": 0.7, ""value"": ""Quality soft cottonblend camisole, 95% cotton, 5% spandex, Neon Colors 57% cotton 38% polyester 5% spandex""}, {""explicit"": false, ""hard"": false, ""kind"": ""style"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 4, ""strength"": 0.7, ""value"": ""Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit""}]","[{""explicit"": true, ""hard"": true, ""kind"": ""style"", ""negated"": true, ""source"": ""negation_or_replacement"", ""source_turn"": 3, ""strength"": 1.0, ""value"": ""Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit""}]","[""weather"", ""warmth"", ""material"", ""comfort""]","[""other""]",other,"{""fixed"": true}",50,"[""B07C2XPZ6D"", ""B011INL1WS"", ""B015LCMLQM"", ""B01I9XLXAA"", ""B014J9VXLW"", ""B07CNHLYC8"", ""B079GJYRZD"", ""B071GP8417"", ""B088KD56CJ"", ""B07NWXM3XW""]",23.72349999495782,True,intent_override,B07C2XPZ6D,1
